日期,天气,温度
2019年01月01日,阴/多云,8℃/4℃
2019年01月02日,多云/多云,9℃/4℃
2019年01月03日,阴/小雨,9℃/6℃
2019年01月04日,小雨/阴,8℃/5℃
2019年01月05日,多云/多云,10℃/5℃
2019年01月06日,小雨/小雨,9℃/7℃
2019年01月07日,阴/阴,9℃/6℃
2019年01月08日,小雨/小雨,9℃/7℃
2019年01月09日,小雨/小雨,8℃/6℃
2019年01月10日,小雨/小雨,8℃/6℃
2019年01月11日,阴/多云,11℃/5℃
2019年01月12日,阴/阴,13℃/6℃
2019年01月13日,阴/阴,8℃/6℃
2019年01月14日,阴/小雨,10℃/7℃
2019年01月15日,小雨/阴,8℃/5℃
2019年01月16日,多云/多云,12℃/5℃
2019年01月17日,多云/阴,12℃/7℃
2019年01月18日,阴/阴,11℃/8℃
2019年01月19日,阴/小雨,10℃/8℃
2019年01月20日,小雨/小雨,9℃/7℃
2019年01月21日,多云/多云,13℃/6℃
2019年01月22日,多云/多云,12℃/5℃
2019年01月23日,多云/多云,15℃/8℃
2019年01月24日,阴/阴,12℃/8℃
2019年01月25日,阴/小雨,11℃/8℃
2019年01月26日,阴/阴,11℃/8℃
2019年01月27日,阴/阴,11℃/8℃
2019年01月28日,阴/小雨,10℃/8℃
2019年01月29日,小雨/小雨,10℃/8℃
2019年01月30日,小雨/阴,9℃/8℃
2019年01月31日,阴/阴,12℃/8℃
2019年02月01日,小雨/阴,12℃/8℃
2019年02月02日,阴/阴,13℃/7℃
2019年02月03日,多云/阴,12℃/8℃
2019年02月04日,多云/多云,14℃/7℃
2019年02月05日,多云/晴,20℃/8℃
2019年02月06日,晴/多云,18℃/8℃
2019年02月07日,多云/阴,17℃/10℃
2019年02月08日,阴/小雨,16℃/11℃
2019年02月09日,小雨/小雨,11℃/8℃
2019年02月10日,小雨/阴,8℃/5℃
2019年02月11日,多云/多云,12℃/7℃
2019年02月12日,阴/多云,13℃/8℃
2019年02月13日,多云/阴,15℃/8℃
2019年02月14日,阴/阴,13℃/9℃
2019年02月15日,阴/小雨,14℃/9℃
2019年02月16日,阴/小雨,13℃/9℃
2019年02月17日,阴/小雨,11℃/8℃
2019年02月18日,阴/阴,11℃/7℃
2019年02月19日,阴/阴,12℃/8℃
2019年02月20日,阴/小雨,14℃/9℃
2019年02月21日,多云/多云,13℃/8℃
2019年02月22日,多云/阴,16℃/7℃
2019年02月23日,小雨/小雨,11℃/9℃
2019年02月24日,阴/阴,13℃/7℃
2019年02月25日,多云/小雨,15℃/9℃
2019年02月26日,小雨/小雨,14℃/11℃
2019年02月27日,阴/阴,14℃/11℃
2019年02月28日,阴/小雨,14℃/10℃
2019年03月01日,小雨/小雨,13℃/9℃
2019年03月02日,阴/晴,16℃/10℃
2019年03月03日,晴/多云,21℃/8℃
2019年03月04日,小雨/小雨,19℃/5℃
2019年03月05日,阴/小雨,14℃/10℃
2019年03月06日,小雨/小雨,15℃/10℃
2019年03月07日,小雨/小雨,11℃/7℃
2019年03月08日,小雨/小雨,11℃/8℃
2019年03月09日,阴/多云,15℃/9℃
2019年03月10日,多云/多云,18℃/8℃
2019年03月11日,多云/多云,19℃/12℃
2019年03月12日,阴/小雨,17℃/13℃
2019年03月13日,阴/小雨,15℃/12℃
2019年03月14日,阵雨/阴,18℃/11℃
2019年03月15日,小雨/阴,13℃/10℃
2019年03月16日,阵雨/小雨,15℃/11℃
2019年03月17日,多云/多云,18℃/11℃
2019年03月18日,多云/小雨,22℃/12℃
2019年03月19日,阴/阴,19℃/14℃
2019年03月20日,多云/小雨,25℃/15℃
2019年03月21日,多云/小雨,24℃/14℃
2019年03月22日,小雨/小雨,15℃/11℃
2019年03月23日,小雨/小雨,12℃/9℃
2019年03月24日,阴/多云,16℃/10℃
2019年03月25日,晴/阴,20℃/8℃
2019年03月26日,阴/小雨,20℃/14℃
2019年03月27日,阴/阴,20℃/15℃
2019年03月28日,多云/多云,25℃/14℃
2019年03月29日,晴/阴,27℃/14℃
2019年03月30日,小雨/小雨,19℃/15℃
2019年03月31日,阴/阴,17℃/13℃
2019年04月01日,阴/小雨,20℃/13℃
2019年04月02日,小雨/小雨,19℃/14℃
2019年04月03日,阴/小雨,20℃/13℃
2019年04月04日,小雨/阴,20℃/13℃
2019年04月05日,多云/多云,24℃/12℃
2019年04月06日,晴/晴,31℃/13℃
2019年04月07日,晴/多云,33℃/14℃
2019年04月08日,多云/多云,32℃/19℃
2019年04月09日,多云/小雨,29℃/21℃
2019年04月10日,小雨/阴,22℃/17℃
2019年04月11日,多云/多云,27℃/16℃
2019年04月12日,多云/阴,29℃/17℃
2019年04月13日,多云/小雨,27℃/18℃
2019年04月14日,小雨/小雨,20℃/15℃
2019年04月15日,阵雨/多云,21℃/15℃
2019年04月16日,多云/多云,24℃/15℃
2019年04月17日,多云/多云,30℃/17℃
2019年04月18日,多云/多云,26℃/20℃
2019年04月19日,小雨/中雨,26℃/20℃
2019年04月20日,中雨/阴,22℃/19℃
2019年04月21日,多云/阴,27℃/17℃
2019年04月22日,多云/多云,28℃/17℃
2019年04月23日,多云/多云,30℃/20℃
2019年04月24日,晴/晴,33℃/21℃
2019年04月25日,晴/晴,34℃/21℃
2019年04月26日,多云/多云,35℃/25℃
2019年04月27日,多云/中雨,36℃/23℃
